S.No,Day of Year,Samvatsara,Ayana,Rithu,Maasa,Paksha,Thithi,Nakshatra,Yoga,Karana,Sh. Thithi,Raahu,Yamakanda,T End Time,N End Time,,,Vaasara,Events,Maasa Niyamaka,Sh Thithi End Time,Gulika,SunriseTime,SunsetTime,MoonriseTime,MoonsetTime
1,77,Vilambi,Uttarayana,Vasantha,Chaitra,Shukla,PRATIPAD,UTRABADRA,SUKLA,_BHAVA,PRATIPAD,04:30 p.m -06:00 p.m,12:00 p.m-01:30 p.m,06:50 a.m / Dwithiya 04:49 p.m,12:59 p.m,,,Baanu,Ugadi-Sri Vilambi Nama Samvtsara,Sri Padmini Vishnu,,,,,,
2,78,Vilambi,Uttarayana,Vasantha,Chaitra,Shukla,DVITIYA,REVATI,BRAHMA,_COWLAVA,DVITIYA,07:30 a.m-09:00 a.m,12:00 p.m-01:30 p.m,02:30 p.m,11:44 a.m,,,Indu,,Sri Padmini Vishnu,,,,,,
3,79,Vilambi,Uttarayana,Vasantha,Chaitra,Shukla,TRITIYA,ASWINI,INDRA,_GARA,TRITIYA,03:00 p.m- 04:30 p.m,09:00 a.m-10:30 p.m,12:17 p.m,10:05 a.m,,,Bowma,Sri Gowri Tadige(Aandholika Gowri),Sri Padmini Vishnu,,,,,,
4,80,Vilambi,Uttarayana,Vasantha,Chaitra,Shukla,CHATURTHI,BHARANI,VAIDHRITI ,_BHADRA,CHATURTHI,12:00 p.m -01:30 p.m,07:30 a.m-09:00 a.m,09:54 p.m,08:33 a.m,,,Sowmya,,Sri Padmini Vishnu,,,,,,
5,81,Vilambi,Uttarayana,Vasantha,Chaitra,Shukla,PANCHMI,KRITTIKA,VISUMBA,_BALAVA,PANCHMI,01:30 p.m -03:00 p.m,06:00 a.m-07:30 a.m,07:29 p.m,06:52 a.m,,,Guru,,Sri Padmini Vishnu,,,,,,
6,82,Vilambi,Uttarayana,Vasantha,Chaitra,Shukla,SASHTI,ROHINI,PRITI/AYUSMA,_THYTULA,SASHTI,10:30 a.m-12:00 p.m,06:00 a.m-07:30 a.m,05:05 p.m,03:41 p.m,,,Baargava,,Sri Padmini Vishnu,,,,,,
7,83,Vilambi,Uttarayana,Vasantha,Chaitra,Shukla,SAPTAMI,MRIGASRA,SAUBHAGYA,_VANIJA,SAPTAMI,09:00 a.m -10:30 a.m,01:30 p.m-03:00 p.m,3:01 p.m,02:27 a.m,,,Sthira,,Sri Padmini Vishnu,,,,,,
8,84,Vilambi,Uttarayana,Vasantha,Chaitra,Shukla,ASHTAMI /NAVAMI,ARDRA,SOBHANA,_BHAVA,ASHTAMI /NAVAMI,04:30 p.m -06:00 p.m,12:00 p.m-01:30 p.m,1:05 p.m,1:25 p.m,,,Baanu,Sri Ramanavami,Sri Padmini Vishnu,,,,,,
9,85,Vilambi,Uttarayana,Vasantha,Chaitra,Shukla,DASAMI,PUNARVASU,ATIGANDA,_THYTULA,DASAMI,07:30 a.m-09:00 a.m,12:00 p.m-01:30 p.m,09:27 a.m,11:01 p.m,,,Indu,,Sri Padmini Vishnu,,,,,,
10,86,Vilambi,Uttarayana,Vasantha,Chaitra,Shukla,EKADASI,PUSHYA,SUKURMA,_VANIJA,EKADASI,03:00 p.m- 04:30 p.m,09:00 a.m-10:30 p.m,10:14 a.m,12:29 a.m,,,Bowma,Ekadasi(Kamadaa),Sri Padmini Vishnu,,,,,,
