S.No,Date,Samvatsara,Ayana,Rithu,Maasa,Paksha,Thithi,Nakshatra,Yoga,Karana,Sh. Thithi,Raahu,Yamakanda,T End Time,N End Time,Y EndTIme,K EndTIme,Vaasara,Events,Maasa Niyamaka,Sh Thithi End Time,Gulika,SunriseTime,SunsetTime,MoonriseTime,MoonsetTime
1,18-Mar-18,Vilambi,Uttarayana,Vasanta,Chaitra,Shukla,Pratipad,Uttarabhadra,Shukla,Bhava,,,,6:17 PM,8:06 PM,7:23 PM,6:17 PM,Baanuwara,Ugadi-Sri Vilambi Nama Samvtsara,Padmini-Vishnu,,,6:32,,,
2,19-Mar-18,Vilambi,Uttarayana,Vasanta,Chaitra,Shukla,Dvitya,Revati,Brahma,Kaulava,,,,5:53 PM,8:18 PM,5:55 PM,5:53 PM,Induwara,,Padmini-Vishnu,,,6:31,,,
3,20-Mar-18,Vilambi,Uttarayana,Vasanta,Chaitra,Shukla,Tritiya,Ashwini,Indra,Gara,,,,5:01 PM,8:03 PM,4:05 PM,5:01 PM,Boumawara,Sri Gowri Tadige(Aandholika Gowri),Padmini-Vishnu,,,6:31,,,
4,21-Mar-18,Vilambi,Uttarayana,Vasanta,Chaitra,Shukla,Chaturthi,Bharani,Vaidhriti,Bhadra,,,,3:44 PM,7:24 PM,1:55 PM,3:44 PM,Soumyawara,,Padmini-Vishnu,,,6:31,,,
5,22-Mar-18,Vilambi,Uttarayana,Vasanta,Chaitra,Shukla,Panchami,Krittika,Vishkambha,Balava,,,,2:04 PM,6:23 PM,11:27 AM,2:04 PM,Guruwara,,Padmini-Vishnu,,,6:30,,,
6,23-Mar-18,Vilambi,Uttarayana,Vasanta,Chaitra,Shukla,Shashti,Rohini,Priti,Taitila,,,,12:07 PM,5:06 PM,8:44 AM,12:07 PM,Baarghavawara,,Padmini-Vishnu,,,6:30,,,
7,24-Mar-18,Vilambi,Uttarayana,Vasanta,Chaitra,Shukla,Saptami,Mrigashira,Soubhagya,Vanija,,,,9:56 AM,3:36 PM,2:49 AM,9:56 AM,Sthirawara,,Padmini-Vishnu,,,6:30,,,
8,25-Mar-18,Vilambi,Uttarayana,Vasanta,Chaitra,Shukla,Ashtami,Ardra,Shobhana,Bhava,,,,7:35 AM,1:59 PM,11:42 PM,7:35 AM,Baanuwara,Sri Ramanavami,Padmini-Vishnu,,,6:29,,,
9,26-Mar-18,Vilambi,Uttarayana,Vasanta,Chaitra,Shukla,Dasami,Punarvasu,Atigandada,Taitila,,,,2:48 AM,12:18 PM,8:36 PM,4:00 PM,Induwara,,Padmini-Vishnu,,,6:29,,,
10,27-Mar-18,Vilambi,Uttarayana,Vasanta,Chaitra,Shukla,Ekadashi,Pushya,SukarmaA,Vanija,,,,12:30 AM,10:41 AM,5:33 PM,1:39 PM,Boumawara,Ekadasi(Kamadaa),Padmini-Vishnu,,,6:29,,,
11,28-Mar-18,Vilambi,Uttarayana,Vasanta,Chaitra,Shukla,Dwadashi,Ashlesha,Dhriti,Bhava,,,,10:22 PM,9:10 AM,2:37 PM,11:26 AM,Soumyawara,Paarane  ,Padmini-Vishnu,,,6:28,,,
12,29-Mar-18,Vilambi,Uttarayana,Vasanta,Chaitra,Shukla,Trayodashi,Makha,Sula,Kaulava,,,,8:29 PM,7:52 AM,11:52 AM,9:25 AM,Guruwara,,Padmini-Vishnu,,,6:28,,,
13,30-Mar-18,Vilambi,Uttarayana,Vasanta,Chaitra,Shukla,Chaturdashi,Purvaphalguni,Ganda,Gara,,,,6:56 PM,6:50 AM,9:22 AM,7:41 AM,Baarghavawara,,Padmini-Vishnu,,,6:28,,,
