S.No,DATE,samvatsara,ayana,ritu,masa,paksha,TITHI  ,NAKSHTRA,YOGA,KARNA,Sh. Thithi,Raahu,Yamaganda,TITHI end time,NAKSHATRA END TIME,YOGA END TIME,KARANA END TIME,DAY,Events,masaniyamaka,S.Thithi End Time,Gulika,SUNRISE,SunSet,MoonRise,MoonSet
1,18-Mar-18,Vilambi,Uttarayana,Vasanta,Chaitra,Shukla,Pratipad,Uttarabhadra,Shukla,Bhava,,,,6:17 PM,8:06 PM,7:23 PM,6:17 PM,Ravivara,"Ugadi  
Sri Purushothamatirtha Aradhana (Guhapravesha, Near Abbur), Mahabhisheka to Sri Moola Gopalakrishna and other Samsthana Vigrahas
Taila Abhyanjana, Nimbakadala Bhakashana, Panchanga Shravana, 
Kalpadi
Chandra Darshana",Padmini-Vishnu,,,6:32,,,
2,19-Mar-18,Vilambi,Uttarayana,Vasanta,Chaitra,Shukla,Dvitya,Revati,Brahma,Kaulava,,,,5:53 PM,8:18 PM,5:55 PM,5:53 PM,Somavara,"The day Sri Srinavasatirtha gave upadesha of Narasimha mantra to Sri Ramatirtha
Gowri-Shiva Damanaka Arpane, Balindra Pooja, ",Padmini-Vishnu,,,6:31,,,
3,20-Mar-18,Vilambi,Uttarayana,Vasanta,Chaitra,Shukla,Tritiya,Ashwini,Indra,Gara,,,,5:01 PM,8:03 PM,4:05 PM,5:01 PM,Mangalavara,"Sri Rama Dolotsava	
Matsya Jayanti, Andolaka Gowri Vrata, Chitra Gowri Vrata, 	
Uttama Manvadi",Padmini-Vishnu,,,6:31,,,
4,21-Mar-18,Vilambi,Uttarayana,Vasanta,Chaitra,Shukla,Chaturthi,Bharani,Vaidhriti,Bhadra,,,,3:44 PM,7:24 PM,1:55 PM,3:44 PM,Budhavara,"Vinayaki Chatruthi, Hayavrata, Ganesha Damanaka Arpane",Padmini-Vishnu,,,6:31,,,
5,22-Mar-18,Vilambi,Uttarayana,Vasanta,Chaitra,Shukla,Panchami,Krittika,Vishkambha,Balava,,,,2:04 PM,6:23 PM,11:27 AM,2:04 PM,Guruvara,"Vishnu Dolotsava	
Naga Damanaka Arpane, Lakshmi Pooja	
Kurma Kalpadi",Padmini-Vishnu,,,6:30,,,
6,23-Mar-18,Vilambi,Uttarayana,Vasanta,Chaitra,Shukla,Shashti,Rohini,Priti / Ayushman,Taitila,,,,12:07 PM,5:06 PM,8:44 AM,12:07 PM,Shukravara,Skanda Damanaka Arpane,Padmini-Vishnu,,,6:30,,,
7,24-Mar-18,Vilambi,Uttarayana,Vasanta,Chaitra,Shukla,Saptami,Mrigashira,Soubhagya,Vanija,,,,9:56 AM,3:36 PM,2:49 AM,9:56 AM,Shanivara,Surya Damanaka Arpane,Padmini-Vishnu,,,6:30,,,
8,25-Mar-18,Vilambi,Uttarayana,Vasanta,Chaitra,Shukla,Ashtami / Navami,Ardra,Shobhana,Bhava,,,,7:35 AM,1:59 PM,11:42 PM,7:35 AM,Ravivara,"Sri Rama Navami		
Mahabhisheka to Sri Moola Pattabhirama and Sri Digvijaya Rama Vigrahas in Sri Matha, 
Durga Ashtami, 		
Brahmaputra Snana Vishesha Phala",Padmini-Vishnu,,,6:29,,,
9,26-Mar-18,Vilambi,Uttarayana,Vasanta,Chaitra,Shukla,Dasami,Punarvasu,Atigandada,Taitila,,,,2:48 AM,12:18 PM,8:36 PM,4:00 PM,Somavara,"Dasami Acharane		
Dharmaraja Damanaka Arpane",Padmini-Vishnu,,,6:29,,,
10,27-Mar-18,Vilambi,Uttarayana,Vasanta,Chaitra,Shukla,Ekadashi,Pushya,Sukarma,Vanija,,,,12:30 AM,10:41 AM,5:33 PM,1:39 PM,Mangalavara,"Ekadashi Acharane(Kumuda)	
Sri Krishna Dolotsava",Padmini-Vishnu,,,6:29,,,
11,28-Mar-18,Vilambi,Uttarayana,Vasanta,Chaitra,Shukla,Dwadashi,Ashlesha,Dhriti,Bhava,,,,10:22 PM,9:10 AM,2:37 PM,11:26 AM,Budhavara,"Dwadasi Acharane		
Vishnu Damanaka Arpane",Padmini-Vishnu,,,6:28,,,
12,29-Mar-18,Vilambi,Uttarayana,Vasanta,Chaitra,Shukla,Trayodashi,Makha,Sula,Kaulava,,,,8:29 PM,7:52 AM,11:52 AM,9:25 AM,Guruvara,"Pradosha, Anangapooja, Manmatha Damanaka Arpane",Padmini-Vishnu,,,6:28,,,
